movieId,label
1,funny
1,time travel
1,tim allen
1,comedy
1,fun
1,fantasy
1,pixar
1,imdb top 250
1,disney animated feature
1,tom hanks
1,adventure
1,animation
1,want to see again
1,witty
1,classic
1,clever
1,family
1,kids movie
1,animated
1,disney
1,3d
1,erlends dvds
1,cg animation
1,toys
1,computer animation
1,usa
1,warm
1,heroic mission
1,light
1,almost favorite
1,want
1,national film registry
1,unlikely friendships
1,pixar animation
1,avi
1,tumeys to see again
1,tumeys vhs
1,rousing
1,fanciful
1,buy
1,bright
1,toys come to life
1,daring rescues
2,time travel
2,animals
2,fantasy
2,children
2,game
2,robin williams
2,scary
2,adapted from:book
2,jungle
2,time
2,board game
2,kirsten dunst
2,kid flick
2,monkey
2,herds of cgi animals
2,lebbat
2,filmed in bc
2,joe johnston
3,funniest movies
3,sequel fever
3,jack lemmon
3,walter matthau
3,old
3,grun running
5,sequel
5,remake
5,family
5,wedding
5,sequel fever
5,pregnancy
5,childhood classics
5,watched under duress
6,imdb top 250
6,witty
6,bibliothek
6,robert de niro
6,tense
6,too long
6,bleak
6,clearplay
6,cant remember
6,guns
6,al pacino
6,atmospheric
6,recommendz top pick
6,ending lame
6,need to own
6,top 10 ever
6,want
6,tumeys dvds
6,somber
6,long
6,visceral
6,setting:la
6,in the nucleus
6,who cares dvds
7,romance
7,remake
7,chick flick
7,harrison ford
7,sexuality
7,relationships
7,based on a play
7,remakeof:sabrina(1954)
7,remadeas:sabrina(1995)
7,upstairsdownstairs
7,greg kinnear
8,adapted from:book
8,author:mark twain
9,cant remember
9,jeanclaude van damme
10,action
10,espionage
10,sequel
10,violence
10,adventure
10,bond
10,assassin
10,seen more than once
10,james bond
10,secret service
10,murder
10,spies
10,franchise
10,pierce brosnan
10,gadgets
10,tumeys dvds
10,killer as protagonist
10,007 (series)
10,sean bean dies
11,bibliothek
11,seen more than once
11,politics
11,president
11,aaron sorkin
11,girlie movie
11,cute
11,amazing kung fu
11,dvd collection
11,us president
11,white house
11,seen
12,gothic
12,vampire
12,spoof
12,mel brooks
13,dogsled
14,biopic
14,biography
14,politics
14,president
14,anthony hopkins
14,political drama
14,oliver stone
14,own
14,biographical
14,us president
14,tumeys vhs
14,cinematographer:robert richardson
15,pirates
15,pirate
16,masterpiece
16,mafia
16,nonfiction
16,gangster
16,martin scorsese
16,imdb top 250
16,on dvr
16,violent
16,bibliothek
16,nudity (rear)
16,robert de niro
16,cult film
16,cannibalism
16,based on a book
16,narrated
16,need to own
16,complex
16,watch
16,divx1
16,erics dvds
16,tumeys dvds
16,scorcese
16,robert deniro
16,cinematographer:robert richardson
17,ang lee
17,boring
17,bibliothek
17,classic
17,alan rickman
17,based on a book
17,chick flick
17,adapted from:book
17,shakespeare
17,emma thompson
17,historical
17,kate winslet
17,great adaptations
17,literature
17,hulu
17,great screenplays
17,author:jane austen
17,svens to see list
17,period
18,nudity (topless)
18,quentin tarantino
18,robert rodriguez
18,multiple storylines
18,tarantino
18,own
18,tumeys vhs
19,comedy
19,jim carrey
19,crazy
19,steve oedekerk
20,money
20,afternoon section
20,lame
21,satire
21,crime
21,mafia
21,owned
21,hollywood
21,foqam
21,gene hackman
21,watch
21,satire:hollywood insiders
21,travolta
22,serial killer
23,afternoon section
23,divx1
24,post apocalyptic
24,owned
24,cant remember
24,reflective
24,pretentious
24,poignant
24,earnest
24,tearjerking
24,albino
24,elegiac
25,nudity (topless)
25,oscar (best actor)
25,nicolas cage
25,dark
25,bibliothek
25,depressing
25,addiction
25,intimate
25,understated
25,alcoholism
25,atmospheric
25,melancholy
25,poignant
25,library
25,loneliness
25,starcrossed lovers
25,prostitutes
25,elegiac
26,nudity (topless)
26,shakespeare
26,great
26,based on a play
26,playwright:shakespeare
26,adapted from:play
26,shakespearean
28,in netflix queue
28,adaptation
28,based on a book
28,oppl
28,library vhs
28,fiona shaw
29,dystopia
29,surreal
29,on computer
29,scifi
29,kidnapping
29,dreamlike
29,legenda ptbr
29,bleak
29,stylized
29,dark fantasy
29,erlends dvds
29,santa claus
29,atmospheric
29,whimsical
29,beautiful
29,need to own
29,steampunk
29,hallucinatory
29,jeunet
29,visually appealing
29,netflix instant watching
29,mechanized
29,fanciful
29,clowny clones
29,skinut
31,drama
31,bibliothek
31,high school
31,erlends dvds
31,afternoon section
31,own
31,seen at the cinema
31,teacher as protagonist
31,teacher
32,time travel
32,dystopia
32,violence
32,postapocalyptic
32,terry gilliam
32,imdb top 250
32,scifi
32,great actors
32,post apocalyptic
32,thriller
32,vhs
32,adventure
32,drama
32,twist ending
32,owned
32,classic
32,depressing
32,psychology
32,genius
32,end of the world
32,mindfuck
32,remake
32,future
32,brad pitt
32,scifi dark
32,genetics
32,not seen
32,bruce willis
32,clearplay
32,gilliam
32,madeleine stowe
32,futuristmoviescom
32,brilliant
32,get
32,gfei own it
32,seen at the cinema
32,dystopian
32,asylum
32,biology
32,biological warfare
32,divx1
32,saturn award (best costumes)
32,tumeys dvds
32,dvdvideo
32,strong director
32,mindfuck movie
32,dystopic future
32,nature of insanity
32,plot point:biomedical danger
32,sf
32,montypythonrelated
34,animals
34,boring
34,adventure
34,pig
34,pigs
34,talking animals
34,animal movie
34,own
34,hugo weaving
34,way overrated
34,afi 100 (cheers)
34,clv
34,infantil
34,dvd collection
34,animal:pig
34,barnyard animals
